index,review_index,study_id,study_name
323,93,STD-Singh-2016,Singh 2016
324,94,STD-Lim-2011,Lim 2011
325,94,STD-Rajab-2014,Rajab 2014
326,95,STD-Li-2010,Li 2010
327,96,STD-Liu-2012,Liu 2012
328,96,STD-Serisier-2013b-ORBIT,Serisier 2013b ORBIT
329,97,STD-Geller-2009,Geller 2009
330,98,STD-Delgado-2016,Delgado 2016
331,99,STD-Chung-2014,Chung 2014
332,99,STD-Zhang-2011,Zhang 2011
333,100,STD-Barry-2011,Barry 2011
334,101,STD-Menon-2007,Menon 2007
335,101,STD-ONTT-1992_x002d_2006,ONTT 1992_x002d_2006
336,102,STD-Berry-2013,Berry 2013
337,102,STD-Evans-2010,Evans 2010
338,102,STD-Fraenkel-2012,Fraenkel 2012
339,102,STD-Hanson-2011,Hanson 2011
340,102,STD-Kuppermann-2014,Kuppermann 2014
341,102,STD-LeBlanc-2015,LeBlanc 2015
342,102,STD-Legare-2011,Legare 2011
343,102,STD-Lepore-2012,Lepore 2012
344,102,STD-Mann-E-2010,Mann E 2010
345,102,STD-Marteau-2010,Marteau 2010
346,102,STD-Mathers-2012,Mathers 2012
347,102,STD-McAlister-2005,McAlister 2005
348,102,STD-McCaffery-2010,McCaffery 2010
349,102,STD-Miller-2011,Miller 2011
350,102,STD-Montgomery-2007,Montgomery 2007
351,102,STD-Montori-2011,Montori 2011
352,102,STD-Nagle-2008,Nagle 2008
353,102,STD-Nassar-2007,Nassar 2007
354,102,STD-Sheridan-2006,Sheridan 2006
355,102,STD-Shourie-2013,Shourie 2013
356,102,STD-Smith-2010,Smith 2010
357,102,STD-Stacey-2014a,Stacey 2014a
358,102,STD-Van-Peperstraten-2010,Van Peperstraten 2010
359,102,STD-Vodermaier-2009,Vodermaier 2009
360,103,STD-Glasgow-1984,Glasgow 1984
361,104,STD-Wang-2010,Wang 2010
362,104,STD-van-den-Berg-2005,van den Berg 2005
363,105,STD-Barclay-1987,Barclay 1987
364,106,STD-Jansen-2008,Jansen 2008
365,107,STD-De-2014,De 2014
366,107,STD-Thursz-2015,Thursz 2015
367,108,STD-Al-Talhi-2018,Al Talhi 2018
368,108,STD-Imbasciati-1985,Imbasciati 1985
369,108,STD-Mishra-2012,Mishra 2012
370,108,STD-PREDNOS-2019,PREDNOS 2019
371,109,STD-IONDT,IONDT
372,110,STD-Aktimur-2016,Aktimur 2016
373,110,STD-Khalil-2011,Khalil 2011
374,110,STD-Ricca-2007,Ricca 2007
375,111,STD-Efrat-2015,Efrat 2015
376,111,STD-Forster-2004,Forster 2004
377,111,STD-Hoddinott-2009,Hoddinott 2009
378,111,STD-Ickovics-2016,Ickovics 2016
379,111,STD-Kirkwood-2013,Kirkwood 2013
